column_name,column_value
office_id,Federal_Government
office_name,Federal Government
aggregated-age_20_24_count,52292
aggregated-age_25_29_count,138992
aggregated-age_30_34_count,209553
aggregated-age_35_39_count,283869
aggregated-age_40_44_count,329653
aggregated-age_45_49_count,298027
aggregated-age_50_54_count,304943
aggregated-age_55_59_count,293190
aggregated-age_60_64_count,213837
aggregated-age_65_plus_count,125147
aggregated-age_under_20_count,0
aggregated-annuity_total,305701678025
aggregated-dc_employee_count,160973
aggregated-employee_count,2252162
aggregated-not_telework_eligible_count,954486
aggregated-salary_100k_109k_count,177382
aggregated-salary_110k_119k_count,170288
aggregated-salary_120k_129k_count,157100
aggregated-salary_130k_139k_count,116673
aggregated-salary_140k_149k_count,100726
aggregated-salary_150k_159k_count,94376
aggregated-salary_160k_169k_count,60665
aggregated-salary_170k_179k_count,43380
aggregated-salary_180k_189k_count,49773
aggregated-salary_190k_199k_count,62434
aggregated-salary_200k_219k_count,19438
aggregated-salary_20k_29k_count,2499
aggregated-salary_220k_239k_count,13326
aggregated-salary_240k_259k_count,10492
aggregated-salary_260k_279k_count,7428
aggregated-salary_280k_299k_count,4982
aggregated-salary_300k_349k_count,8239
aggregated-salary_30k_39k_count,44948
aggregated-salary_350k_399k_count,5375
aggregated-salary_400k_449k_count,1058
aggregated-salary_40k_49k_count,134098
aggregated-salary_450k_499k_count,2
aggregated-salary_500k_plus_count,1
aggregated-salary_50k_59k_count,192950
aggregated-salary_60k_69k_count,207022
aggregated-salary_70k_79k_count,201725
aggregated-salary_80k_89k_count,175475
aggregated-salary_90k_99k_count,176159
aggregated-salary_less_20k_count,79
aggregated-salary_total,211316158567
aggregated-salary_unspecified_count,14071
aggregated-telework_eligible_count,1296996
aggregated-telework_unspecified_count,26
aggregated-tenure_10_14_count,337610
aggregated-tenure_15_19_count,315675
aggregated-tenure_1_2_count,284948
aggregated-tenure_20_24_count,194804
aggregated-tenure_25_29_count,87719
aggregated-tenure_30_34_count,72555
aggregated-tenure_35_plus_count,77089
aggregated-tenure_3_4_count,232802
aggregated-tenure_5_9_count,431005
aggregated-tenure_less_than_1_count,217955
children_count,16439
